category,agency,account,project,state,amount,origination,requestor_one_full_name,requestor_one_bioguide_id,requestor_one_chamber,requestor_one_party,requestor_two_full_name,requestor_two_bioguide_id,requestor_two_chamber,requestor_two_party,member_state,LES,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","Commerce, Justice, Science, and Related Agencies",Defense,"Energy and Water Development, and Related Agencies",Financial Services and General Government,Homeland Security,"Interior, Environment, and Related Agencies","Labor, Health and Human Services, Education, and Related Agencies","Military Construction, Veterans Affairs, and Related Agencies","Transportation, and Housing and Urban Development, and Related Agencies",Relevant_Committee,party_status_majority
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Dismas Home of New Hampshire, NH, for substance use disorder treatment.",NH,25000.0,S,Jeanne Shaheen,S001181,sen,Democrat,None,None,None,None,NH,1.0471760034561157,0,0,1,0,1,0,0,0,1,0,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"EmblemHealth, NY, for behavioral health care services.",NY,200000.0,S,Charles E. Schumer,S000148,sen,Democrat,None,None,None,None,NY,0.32565510272979736,0,0,1,0,0,0,0,0,0,0,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Gay Men’s Health Crisis, Inc., NY, for mental health care services.",NY,200000.0,S,Kirsten E. Gillibrand,G000555,sen,Democrat,Charles E. Schumer,S000148,sen,Democrat,NY,0.7878498435020447,1,0,1,0,0,0,0,0,1,0,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Grassroots Crisis Intervention Center, Inc., MD, for behavioral health care services.",MD,500000.0,S,Chris Van Hollen,V000128,sen,Democrat,None,None,None,None,MD,0.7227866649627686,0,0,0,0,1,0,0,0,0,1,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Greater Lawrence Family Health Center (GLFHC), MA, for mental and behavioral health care services.",MA,1000000.0,S,Edward J. Markey,M000133,sen,Democrat,Elizabeth Warren,W000817,sen,Democrat,MA,1.438354730606079,1,1,0,1,0,0,0,0,0,1,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Greater Susquehanna Valley United Way, PA, to address mental health care needs for youth.",PA,60000.0,S,"Robert P. Casey, Jr.",C001070,sen,Democrat,None,None,None,None,PA,1.5613142251968384,0,0,1,0,1,0,0,1,0,0,1,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Jewish Family Service of Metropolitan Detroit, MI, for suicide prevention.",MI,811000.0,S,Debbie Stabenow,S000770,sen,Democrat,None,None,None,None,MI,0.5295838713645935,1,0,0,1,1,0,0,0,0,1,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Jewish Family Services of Delaware, DE, to establish a workforce development program for mental health counselors.",DE,3500000.0,S,Thomas R. Carper,C000174,sen,Democrat,Christopher A. Coons,C001088,sen,Democrat,DE,0.8036460876464844,1,0,0,1,1,0,0,0,0,1,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Liberation Programs, Inc., CT, for necessary renovations and improvements at the Pelletier Wellness Center.",CT,16000.0,S,Richard Blumenthal,B001277,sen,Democrat,Christopher Murphy,M001169,sen,Democrat,CT,1.1462339162826538,0,1,1,0,0,0,0,0,1,0,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Liberation Programs, Inc., CT, to support familyfocused recovery services.",CT,137000.0,S,Richard Blumenthal,B001277,sen,Democrat,Christopher Murphy,M001169,sen,Democrat,CT,1.1462339162826538,0,1,1,0,0,0,0,0,1,0,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Lines for Life, OR, for mental health care and crisis intervention services.",OR,433000.0,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,OR,1.6282490491867065,1,0,0,1,1,0,0,0,0,1,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Lourie Center for Infants and Young Children, Inc., MD, to provide services to children experiencing trauma.",MD,970000.0,S,Chris Van Hollen,V000128,sen,Democrat,None,None,None,None,MD,0.7227866649627686,0,0,0,0,1,0,0,0,0,1,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Marshall University, WV, for expansion of recovery services, including training and technical assistance.",WV,4961000.0,S,Shelley Moore Capito,C001047,sen,Republican,"Joe Manchin, III",M001183,sen,Democrat,WV,0.2717813551425934,1,1,0,1,1,0,0,0,0,1,0,0
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Mental Health for Children, dba The Child Center, OR, for the expansion of access to schoolbased mental health services.",OR,100000.0,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,OR,1.6282490491867065,1,0,0,1,1,0,0,0,0,1,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"MHM Support Services, MO, for behavioral and mental health services, including telehealth and health information technology.",MO,500000.0,S,Roy Blunt,B000575,sen,Republican,None,None,None,None,MO,0.40726181864738464,0,1,1,0,1,0,0,0,0,0,0,0
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Morgan County Partnership, WV, for substance use prevention for school-aged children.",WV,200000.0,S,"Joe Manchin, III",M001183,sen,Democrat,None,None,None,None,WV,1.1465733051300049,0,0,1,0,1,0,1,0,1,0,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Multnomah County, OR, for behavioral health care services.",OR,375000.0,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,OR,1.6282490491867065,1,0,0,1,1,0,0,0,0,1,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"NAMI Chicago, IL, to provide peer-support for individuals and families facing mental health challenges.",IL,90000.0,S,Richard J. Durbin,D000563,sen,Democrat,None,None,None,None,IL,1.782782793045044,1,1,0,0,1,0,0,0,0,0,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Nevada System of Higher Education, NV, to provide mental health services and training.",NV,2661000.0,S,Catherine Cortez Masto,C001113,sen,Democrat,Jacky Rosen,R000608,sen,Democrat,NV,2.4666779041290283,0,0,0,0,1,0,1,0,0,1,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"New Mexico Behavioral Health Services Division, NM, to provide services to individuals with substance use disorders.",NM,450000.0,S,Martin Heinrich,H001046,sen,Democrat,Ben Ray Luján,L000570,sen,Democrat,NM,0.89659184217453,0,0,1,0,1,0,1,0,0,0,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"New Mexico Children, Youth, and Families Dept, NM, to provide support to youth at risk of mental health or substance use disorders.",NM,700000.0,S,Martin Heinrich,H001046,sen,Democrat,Ben Ray Luján,L000570,sen,Democrat,NM,0.89659184217453,0,0,1,0,1,0,1,0,0,0,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Newport County Community Mental Health Center, RI, for mental health care services.",RI,101000.0,S,Sheldon Whitehouse,W000802,sen,Democrat,None,None,None,None,RI,0.34029924869537354,1,1,0,1,1,0,0,0,0,1,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Newport County Community Mental Health Center, RI, to expand youth mental health services.",RI,100000.0,S,Jack Reed,R000122,sen,Democrat,None,None,None,None,RI,0.9055533409118652,0,0,1,0,1,0,0,0,1,1,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Northern Lakes Community Mental Health Authority, MI, for access to behavioral crisis services.",MI,1800000.0,S,Debbie Stabenow,S000770,sen,Democrat,None,None,None,None,MI,0.5295838713645935,1,0,0,1,1,0,0,0,0,1,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Oregon Center for Nursing, OR, to support the mental health and emotional well-being of nurses.",OR,459000.0,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,OR,1.6282490491867065,1,0,0,1,1,0,0,0,0,1,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Outright Vermont, VT, for mental and behavioral health care services.",VT,160000.0,S,Patrick J. Leahy,L000174,sen,Democrat,None,None,None,None,VT,0.4219821095466614,1,1,0,0,1,0,0,0,0,0,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Reaching HOPE, CO, to provide mental health services to trauma survivors.",CO,321000.0,S,John W. Hickenlooper,H000273,sen,Democrat,None,None,None,None,CO,0.689298689365387,0,1,0,0,0,0,1,1,0,0,1,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Region 9 Economic Development District, CO, to improve substance use disorder treatment.",CO,150000.0,S,Michael F. Bennet,B001267,sen,Democrat,John W. Hickenlooper,H000273,sen,Democrat,CO,0.32766950130462646,1,0,1,0,1,0,0,0,0,0,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Rhode Island District Court, RI, for mental health services.",RI,423000.0,S,Sheldon Whitehouse,W000802,sen,Democrat,None,None,None,None,RI,0.34029924869537354,1,1,0,1,1,0,0,0,0,1,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Rogue Retreat, OR, for services for individuals with mental health or substance use disorders.",OR,501000.0,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,OR,1.6282490491867065,1,0,0,1,1,0,0,0,0,1,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Servicios de La Raza, CO, to expand mental and behavioral health care services for incarcerated and at-risk individuals.",CO,160000.0,S,Michael F. Bennet,B001267,sen,Democrat,None,None,None,None,CO,0.32766950130462646,1,0,1,0,1,0,0,0,0,0,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Sheppard Pratt, MD, to provide mental health care services.",MD,917000.0,S,Benjamin L. Cardin,C000141,sen,Democrat,None,None,None,None,MD,1.5727241039276123,1,0,0,1,1,0,0,0,0,1,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Southeastern Regional Action Council Inc., CT, for rural outreach to improve access to mental and behavioral health care services.",CT,200000.0,S,Richard Blumenthal,B001277,sen,Democrat,Christopher Murphy,M001169,sen,Democrat,CT,1.1462339162826538,0,1,1,0,0,0,0,0,1,0,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Summit County Sheriff’s Office, CO, to support a mental health response team.",CO,423000.0,S,Michael F. Bennet,B001267,sen,Democrat,None,None,None,None,CO,0.32766950130462646,1,0,1,0,1,0,0,0,0,0,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"The City of Oakland, CA, for mental health care through mobile assistance community responders.",CA,734000.0,S,Alex Padilla,P000145,sen,Democrat,None,None,None,None,CA,1.5592962503433228,1,1,0,1,1,0,0,0,0,1,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"The Martinsburg Initiative, Inc., WV, for trauma awareness and substance use prevention services.",WV,500000.0,S,Shelley Moore Capito,C001047,sen,Republican,None,None,None,None,WV,0.2717813551425934,1,1,0,1,1,0,0,0,0,1,0,0
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"TLC Family Resource Center, NH, for family-based peer recovery services.",NH,350000.0,S,Jeanne Shaheen,S001181,sen,Democrat,None,None,None,None,NH,1.0471760034561157,0,0,1,0,1,0,0,0,1,0,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Tri-County Mental Health Services, Inc., ME, for mental health and substance use disorder services, including outreach and wraparound services.",ME,25000.0,S,Susan M. Collins,C001035,sen,Republican,None,None,None,None,ME,0.9127615094184875,0,0,1,0,1,0,0,1,0,0,1,0
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"UCAN, IL, for trauma-informed violence prevention and mental health services.",IL,750000.0,S,Richard J. Durbin,D000563,sen,Democrat,None,None,None,None,IL,1.782782793045044,1,1,0,0,1,0,0,0,0,0,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"United Services, Inc., CT, for the integration of behavioral health care in primary care settings.",CT,461000.0,S,Richard Blumenthal,B001277,sen,Democrat,Christopher Murphy,M001169,sen,Democrat,CT,1.1462339162826538,0,1,1,0,0,0,0,0,1,0,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"United Way of Wisconsin, WI, for improving mental health care.",WI,1121000.0,S,Tammy Baldwin,B001230,sen,Democrat,None,None,None,None,WI,0.5059313774108887,0,1,0,0,1,0,0,1,0,0,1,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"University of Illinois Cicero, IL, for behavioral health and addiction treatment services.",IL,1000000.0,S,Richard J. Durbin,D000563,sen,Democrat,None,None,None,None,IL,1.782782793045044,1,1,0,0,1,0,0,0,0,0,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"University of Mississippi Medical Center, MS, for expansion of mental health and substance use prevention and treatment services, including telehealth and information technology.",MS,6000000.0,S,Cindy Hyde-Smith,H001079,sen,Republican,None,None,None,None,MS,0.02246854454278946,1,0,0,0,1,0,1,0,0,0,0,0
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"University of New Mexico, NM, for substance use treatment using a peer support model.",NM,1500000.0,S,Ben Ray Luján,L000570,sen,Democrat,None,None,None,None,NM,1.4942545890808105,1,1,0,0,1,0,0,1,0,0,1,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Upstate Warrior Solution, SC, for mental health and substance use prevention and treatment services, including wraparound services.",SC,2000000.0,S,Lindsey Graham,G000359,sen,Republican,None,None,None,None,SC,0.10986436903476715,1,1,0,1,1,0,0,0,0,1,0,0
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Vermont Care Network, VT, to provide outpatient, pediatric mental health care services.",VT,1000000.0,S,Bernard Sanders,S000033,sen,Independent,None,None,None,None,VT,0.19950705766677856,1,0,0,1,1,0,1,1,1,1,1,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Vermont Program for Quality in Healthcare, VT, for mental health services.",VT,1000000.0,S,Patrick J. Leahy,L000174,sen,Democrat,None,None,None,None,VT,0.4219821095466614,1,1,0,0,1,0,0,0,0,0,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Vermont Recovery Network, VT, for peer support and other recovery services.",VT,515000.0,S,Bernard Sanders,S000033,sen,Independent,None,None,None,None,VT,0.19950705766677856,1,0,0,1,1,0,1,1,1,1,1,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Will County, IL, for an opioid overdose intervention program.",IL,175000.0,S,Richard J. Durbin,D000563,sen,Democrat,None,None,None,None,IL,1.782782793045044,1,1,0,0,1,0,0,0,0,0,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"YMCA of Honolulu, HI, to provide behavioral health care services and counseling to youth.",HI,250000.0,S,Mazie K. Hirono,H001042,sen,Democrat,Brian Schatz,S001194,sen,Democrat,HI,0.8283229470252991,0,1,1,0,0,0,1,0,1,0,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"York Hospital, ME, for substance use prevention, treatment, and recovery services.",ME,155000.0,S,Susan M. Collins,C001035,sen,Republican,"Angus S. King, Jr.",K000383,sen,Independent,ME,0.9127615094184875,0,0,1,0,1,0,0,1,0,0,1,0
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Substance Abuse and Mental Health Services Administration (SAMHSA),"Youth Rising Oregon, OR, for substance abuse treatment for youth parents.",OR,750000.0,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,OR,1.6282490491867065,1,0,0,1,1,0,0,0,0,1,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Administration for Children and Families (ACF),"Abriendo Puertas/Opening Doors, NM, for providing services to families.",NM,950000.0,S,Martin Heinrich,H001046,sen,Democrat,Ben Ray Luján,L000570,sen,Democrat,NM,0.89659184217453,0,0,1,0,1,0,1,0,0,0,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Administration for Children and Families (ACF),"Association of Africans Living in Vermont, VT, for services to reduce poverty.",VT,220000.0,S,Bernard Sanders,S000033,sen,Independent,None,None,None,None,VT,0.19950705766677856,1,0,0,1,1,0,1,1,1,1,1,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Administration for Children and Families (ACF),"Childhaven, WA, for behavioral health support to children, caregivers, and educators.",WA,996000.0,S,Patty Murray,M001111,sen,Democrat,None,None,None,None,WA,1.0015588998794556,0,0,0,0,1,0,0,1,1,0,1,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Administration for Children and Families (ACF),"Children’s Advocacy Centers of Mississippi, MS, for child advocacy studies training.",MS,1620000.0,S,Cindy Hyde-Smith,H001079,sen,Republican,None,None,None,None,MS,0.02246854454278946,1,0,0,0,1,0,1,0,0,0,0,0
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Administration for Children and Families (ACF),"City of Burlington, VT, for services provided at a daytime warming shelter.",VT,405000.0,S,Patrick J. Leahy,L000174,sen,Democrat,None,None,None,None,VT,0.4219821095466614,1,1,0,0,1,0,0,0,0,0,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Administration for Children and Families (ACF),"Connecticut Council of Family Service Agencies, CT, to improve mental health care access for children and youth.",CT,368000.0,S,Richard Blumenthal,B001277,sen,Democrat,Christopher Murphy,M001169,sen,Democrat,CT,1.1462339162826538,0,1,1,0,0,0,0,0,1,0,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Administration for Children and Families (ACF),"Covenant House Alaska, AK, for training to address homelessness.",AK,500000.0,S,Lisa Murkowski,M001153,sen,Republican,None,None,None,None,AK,1.7114720344543457,0,0,0,0,1,0,1,1,0,0,1,0
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Administration for Children and Families (ACF),"Early Childhood Council of the San Luis Valley, CO, to expand access to high-quality early childhood care.",CO,110000.0,S,Michael F. Bennet,B001267,sen,Democrat,None,None,None,None,CO,0.32766950130462646,1,0,1,0,1,0,0,0,0,0,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Administration for Children and Families (ACF),"Gonzaga University, WA, to provide services to families facing homelessness.",WA,576000.0,S,Maria Cantwell,C000127,sen,Democrat,None,None,None,None,WA,1.6083993911743164,0,1,0,0,1,0,1,0,0,0,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Administration for Children and Families (ACF),"Greater Boston Legal Services, MA, for services to low-income families.",MA,700000.0,S,Edward J. Markey,M000133,sen,Democrat,Elizabeth Warren,W000817,sen,Democrat,MA,1.438354730606079,1,1,0,1,0,0,0,0,0,1,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Administration for Children and Families (ACF),"Maine Community Action Partnership, ME, to provide services to help families achieve self-sufficiency and reduce poverty.",ME,2000000.0,S,"Angus S. King, Jr.",K000383,sen,Independent,None,None,None,None,ME,0.6781044602394104,0,0,1,0,0,0,1,0,1,0,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Administration for Children and Families (ACF),"Many Mothers, NM, to provide community resources and trainings for parents.",NM,160000.0,S,Martin Heinrich,H001046,sen,Democrat,Ben Ray Luján,L000570,sen,Democrat,NM,0.89659184217453,0,0,1,0,1,0,1,0,0,0,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Administration for Children and Families (ACF),"Marshall University, WV, for a center on foster care studies.",WV,1000000.0,S,Shelley Moore Capito,C001047,sen,Republican,None,None,None,None,WV,0.2717813551425934,1,1,0,1,1,0,0,0,0,1,0,0
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Administration for Children and Families (ACF),"MyHouse Mat-Su, AK, for a homelessness and human trafficking services project.",AK,1000000.0,S,Lisa Murkowski,M001153,sen,Republican,None,None,None,None,AK,1.7114720344543457,0,0,0,0,1,0,1,1,0,0,1,0
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Administration for Children and Families (ACF),"New Mexico Coalition of Sexual Assault Programs, NM, for the prevention of child abuse.",NM,46000.0,S,Martin Heinrich,H001046,sen,Democrat,Ben Ray Luján,L000570,sen,Democrat,NM,0.89659184217453,0,0,1,0,1,0,1,0,0,0,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Administration for Children and Families (ACF),"Oregon Association of Relief Nurseries, OR, for the prevention of child abuse.",OR,500000.0,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,OR,1.6282490491867065,1,0,0,1,1,0,0,0,0,1,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Administration for Children and Families (ACF),"Oregon Social Learning Center Developments Inc., OR, to promote child welfare.",OR,1276000.0,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,OR,1.6282490491867065,1,0,0,1,1,0,0,0,0,1,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Administration for Children and Families (ACF),"Reclaiming Our Community, MO, to support an anti-poverty initiative.",MO,500000.0,S,Roy Blunt,B000575,sen,Republican,None,None,None,None,MO,0.40726181864738464,0,1,1,0,1,0,0,0,0,0,0,0
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Administration for Children and Families (ACF),"RI Department of Children, Youth, & Families, RI, for foster family recruitment and retention.",RI,750000.0,S,Jack Reed,R000122,sen,Democrat,None,None,None,None,RI,0.9055533409118652,0,0,1,0,1,0,0,0,1,1,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Administration for Children and Families (ACF),"Rutland County Parent Child Center, VT, for training and skills development to improve the financial stability of families.",VT,176000.0,S,Patrick J. Leahy,L000174,sen,Democrat,None,None,None,None,VT,0.4219821095466614,1,1,0,0,1,0,0,0,0,0,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Administration for Children and Families (ACF),"Safari Youth Club, NH, for services and educational programs for families.",NH,150000.0,S,Jeanne Shaheen,S001181,sen,Democrat,None,None,None,None,NH,1.0471760034561157,0,0,1,0,1,0,0,0,1,0,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Administration for Children and Families (ACF),"SASH—Cathedral Square, VT, for services to families to reduce poverty.",VT,395000.0,S,Bernard Sanders,S000033,sen,Independent,None,None,None,None,VT,0.19950705766677856,1,0,0,1,1,0,1,1,1,1,1,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Administration for Children and Families (ACF),"Southern Oregon Success, OR, for services to prevent abuse and neglect, homelessness, and addiction.",OR,840000.0,S,Jeff Merkley,M001176,sen,Democrat,Ron Wyden,W000779,sen,Democrat,OR,1.6282490491867065,1,0,0,1,1,0,0,0,0,1,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Administration for Children and Families (ACF),"Southwestern Vermont Medical Center, VT, for child care services.",VT,77000.0,S,Bernard Sanders,S000033,sen,Independent,None,None,None,None,VT,0.19950705766677856,1,0,0,1,1,0,1,1,1,1,1,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Administration for Children and Families (ACF),"Springfield School District, River Valley Tech Cen, VT, to improve access to child care.",VT,503000.0,S,Bernard Sanders,S000033,sen,Independent,None,None,None,None,VT,0.19950705766677856,1,0,0,1,1,0,1,1,1,1,1,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Administration for Children and Families (ACF),"Star House, OH, for services to prevent youth homelessness.",OH,760000.0,S,Sherrod Brown,B000944,sen,Democrat,None,None,None,None,OH,1.41644287109375,1,0,0,0,1,0,0,0,1,1,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Administration for Children and Families (ACF),"Stepping Stones, NH, for services for homeless youth.",NH,100000.0,S,Jeanne Shaheen,S001181,sen,Democrat,None,None,None,None,NH,1.0471760034561157,0,0,1,0,1,0,0,0,1,0,0,1
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Administration for Children and Families (ACF),"The Center for Grieving Children, ME, for peer support groups for grieving children.",ME,264000.0,S,Susan M. Collins,C001035,sen,Republican,"Angus S. King, Jr.",K000383,sen,Independent,ME,0.9127615094184875,0,0,1,0,1,0,0,1,0,0,1,0
"Labor, Health and Human Services, Education, and Related Agencies",Department of Health & Human Services,Administration for Children and Families (ACF),"United Way of Anchorage, AK, for improving the 2–1–1 system.",AK,1000000.0,S,Lisa Murkowski,M001153,sen,Republican,None,None,None,None,AK,1.7114720344543457,0,0,0,0,1,0,1,1,0,0,1,0
